drift_id	provider	entity	field_column	category	total_rows	affected_rows	severity	resolution_hint	status
DQ-PAT-001	data_provider_1_aegis_care_network	patients	gender	standard_format	61915	1097	Medium	provider_gender_precedence	Open
DQ-PAT-002	data_provider_2_bluestone_health	patients	gender	standard_format	79613	2967	Medium	provider_gender_precedence	Open
DQ-PAT-003	data_provider_3_northcare_clinics	patients	gender	standard_format	41297	745	Medium	provider_gender_precedence	Open
DQ-PAT-004	data_provider_4_valleybridge_medical	patients	gender	standard_format	74234	1384	Medium	provider_gender_precedence	Open
DQ-PAT-005	data_provider_5_pacific_shield_insurance	patients	gender	standard_format	222754	3511	Medium	provider_gender_precedence	Open
DQ-PAT-006	data_provider_2_bluestone_health	patients	birth_date	temporal_validity	79613	4488	High	birth_date_survivor_rule	Open
DQ-PAT-007	data_provider_5_pacific_shield_insurance	patients	birth_date	temporal_validity	222754	5469	High	birth_date_survivor_rule	Open
DQ-PAT-008	data_provider_3_northcare_clinics	patients	birth_date	temporal_validity	41297	92	Medium	birth_date_bounds_quarantine	Open
DQ-COV-001	data_provider_1_aegis_care_network	coverage_periods	provider_member_plan_period_key	uniqueness	76825	4686	High	deterministic_period_key	Open
DQ-COV-002	data_provider_2_bluestone_health	coverage_periods	provider_member_plan_period_key	uniqueness	102719	233	Medium	deterministic_period_key	Open
DQ-COV-003	data_provider_3_northcare_clinics	coverage_periods	provider_member_plan_period_key	uniqueness	51462	2983	High	deterministic_period_key	Open
DQ-COV-004	data_provider_4_valleybridge_medical	coverage_periods	provider_member_plan_period_key	uniqueness	92414	5766	High	deterministic_period_key	Open
DQ-COV-005	data_provider_5_pacific_shield_insurance	coverage_periods	provider_member_plan_period_key	uniqueness	552340	21155	High	deterministic_period_key	Open
DQ-COV-006	data_provider_3_northcare_clinics	coverage_periods	coverage_start_date_or_end_date	temporal_validity	51462	1570	High	date_parser_quarantine	Open
DQ-COV-007	data_provider_1_aegis_care_network	coverage_periods	coverage_start_date_and_end_date	nullability	76825	76825	Critical	unknown_period_state	Open
DQ-COV-008	data_provider_2_bluestone_health	coverage_periods	coverage_start_date_and_end_date	nullability	102719	9363	Medium	unknown_period_state	Open
DQ-COV-009	data_provider_3_northcare_clinics	coverage_periods	coverage_start_date_and_end_date	nullability	51462	49892	Critical	unknown_period_state	Open
DQ-COV-010	data_provider_4_valleybridge_medical	coverage_periods	coverage_start_date_and_end_date	nullability	92414	92414	Critical	unknown_period_state	Open
DQ-COV-011	data_provider_5_pacific_shield_insurance	coverage_periods	coverage_start_date_and_end_date	nullability	552340	4209	Low	unknown_period_state	Open
DQ-COV-012	data_provider_2_bluestone_health	coverage_periods	coverage_start_date	nullability	102719	15446	High	end_date_only_transition	Open
DQ-COV-013	data_provider_3_northcare_clinics	coverage_periods	coverage_start_date	nullability	51462	474	Low	end_date_only_transition	Open
DQ-COV-014	data_provider_5_pacific_shield_insurance	coverage_periods	coverage_start_date	nullability	552340	295062	Critical	end_date_only_transition	Open
DQ-ENC-001	data_provider_2_bluestone_health	encounters	encounter_datetime	nullability	169468	169468	Critical	approved_date_source_required	Open
DQ-ENC-002	data_provider_4_valleybridge_medical	encounters	encounter_datetime	nullability	153087	153087	Critical	approved_date_source_required	Open
DQ-ENC-003	data_provider_1_aegis_care_network	encounters	member_reference	referential_integrity	128019	80718	Critical	member_reference_normalization	Open
DQ-ENC-004	data_provider_2_bluestone_health	encounters	member_reference	referential_integrity	169468	66659	High	member_reference_normalization	Open
DQ-ENC-005	data_provider_3_northcare_clinics	encounters	member_reference	referential_integrity	84752	53583	Critical	member_reference_normalization	Open
DQ-ENC-006	data_provider_4_valleybridge_medical	encounters	member_reference	referential_integrity	153087	96936	Critical	member_reference_normalization	Open
DQ-CON-001	data_provider_1_aegis_care_network	conditions	member_reference	referential_integrity	192286	113940	Critical	member_reference_normalization	Open
DQ-CON-002	data_provider_2_bluestone_health	conditions	member_reference	referential_integrity	254161	77111	High	member_reference_normalization	Open
DQ-CON-003	data_provider_3_northcare_clinics	conditions	member_reference	referential_integrity	127181	75404	Critical	member_reference_normalization	Open
DQ-CON-004	data_provider_4_valleybridge_medical	conditions	member_reference	referential_integrity	229967	136521	Critical	member_reference_normalization	Open
DQ-CON-005	data_provider_1_aegis_care_network	conditions	encounter_reference	referential_integrity	192286	77285	Critical	encounter_reference_audit_bridge	Open
DQ-CON-006	data_provider_2_bluestone_health	conditions	encounter_reference	referential_integrity	254161	56747	High	encounter_reference_audit_bridge	Open
DQ-CON-007	data_provider_3_northcare_clinics	conditions	encounter_reference	referential_integrity	127181	50845	Critical	encounter_reference_audit_bridge	Open
DQ-CON-008	data_provider_4_valleybridge_medical	conditions	encounter_reference	referential_integrity	229967	92423	Critical	encounter_reference_audit_bridge	Open
DQ-CON-009	data_provider_2_bluestone_health	conditions	condition_source_code	standard_format	254161	254161	Critical	code_source_hint_mapping	Open
DQ-CON-010	data_provider_3_northcare_clinics	conditions	condition_source_code	standard_format	127181	127181	Critical	code_source_hint_mapping	Open
DQ-CON-011	data_provider_4_valleybridge_medical	conditions	condition_source_code	standard_format	229967	229967	Critical	code_source_hint_mapping	Open
DQ-OBS-001	data_provider_1_aegis_care_network	observations	height_cm	component_presence	128019	12882	High	component_completeness_flag	Open
DQ-OBS-002	data_provider_2_bluestone_health	observations	height_cm	component_presence	169468	16883	Medium	component_completeness_flag	Open
DQ-OBS-003	data_provider_3_northcare_clinics	observations	height_cm	component_presence	84752	8426	Medium	component_completeness_flag	Open
DQ-OBS-004	data_provider_4_valleybridge_medical	observations	height_cm	component_presence	153087	15214	Medium	component_completeness_flag	Open
DQ-OBS-005	data_provider_1_aegis_care_network	observations	weight_kg	component_presence	128019	12640	Medium	component_completeness_flag	Open
DQ-OBS-006	data_provider_2_bluestone_health	observations	weight_kg	component_presence	169468	17012	High	component_completeness_flag	Open
DQ-OBS-007	data_provider_3_northcare_clinics	observations	weight_kg	component_presence	84752	8516	High	component_completeness_flag	Open
DQ-OBS-008	data_provider_4_valleybridge_medical	observations	weight_kg	component_presence	153087	15300	Medium	component_completeness_flag	Open
DQ-OBS-009	data_provider_1_aegis_care_network	observations	blood_pressure_pair	component_presence	128019	12831	High	component_completeness_flag	Open
DQ-OBS-010	data_provider_2_bluestone_health	observations	blood_pressure_pair	component_presence	169468	17079	High	component_completeness_flag	Open
DQ-OBS-011	data_provider_3_northcare_clinics	observations	blood_pressure_pair	component_presence	84752	8550	High	component_completeness_flag	Open
DQ-OBS-012	data_provider_4_valleybridge_medical	observations	blood_pressure_pair	component_presence	153087	15622	High	component_completeness_flag	Open
DQ-OBS-013	data_provider_1_aegis_care_network	observations	pulse_lpm	component_presence	128019	13066	High	component_completeness_flag	Open
DQ-OBS-014	data_provider_2_bluestone_health	observations	pulse_lpm	component_presence	169468	16989	High	component_completeness_flag	Open
DQ-OBS-015	data_provider_3_northcare_clinics	observations	pulse_lpm	component_presence	84752	8547	High	component_completeness_flag	Open
DQ-OBS-016	data_provider_4_valleybridge_medical	observations	pulse_lpm	component_presence	153087	15506	High	component_completeness_flag	Open
DQ-OBS-017	data_provider_1_aegis_care_network	observations	temperature_c	component_presence	128019	12807	High	component_completeness_flag	Open
DQ-OBS-018	data_provider_2_bluestone_health	observations	temperature_c	component_presence	169468	17104	High	component_completeness_flag	Open
DQ-OBS-019	data_provider_3_northcare_clinics	observations	temperature_c	component_presence	84752	8492	High	component_completeness_flag	Open
DQ-OBS-020	data_provider_4_valleybridge_medical	observations	temperature_c	component_presence	153087	15465	High	component_completeness_flag	Open
DQ-OBS-021	data_provider_1_aegis_care_network	observations	bmi_payload	component_presence	128019	34490	High	component_completeness_flag	Open
DQ-OBS-022	data_provider_2_bluestone_health	observations	bmi_payload	component_presence	169468	45810	High	component_completeness_flag	Open
DQ-OBS-023	data_provider_3_northcare_clinics	observations	bmi_payload	component_presence	84752	22863	High	component_completeness_flag	Open
DQ-OBS-024	data_provider_4_valleybridge_medical	observations	bmi_payload	component_presence	153087	41459	High	component_completeness_flag	Open
DQ-MED-001	data_provider_1_aegis_care_network	medications	medication_datetime	nullability	384514	384514	Critical	approved_date_source_required	Open
DQ-MED-002	data_provider_3_northcare_clinics	medications	medication_datetime	nullability	254214	254214	Critical	approved_date_source_required	Open
DQ-MED-003	data_provider_1_aegis_care_network	medications	member_reference	referential_integrity	384514	227703	Critical	member_reference_normalization	Open
DQ-MED-004	data_provider_2_bluestone_health	medications	member_reference	referential_integrity	507900	154861	High	member_reference_normalization	Open
DQ-MED-005	data_provider_3_northcare_clinics	medications	member_reference	referential_integrity	254214	150425	Critical	member_reference_normalization	Open
DQ-MED-006	data_provider_4_valleybridge_medical	medications	member_reference	referential_integrity	459746	272510	Critical	member_reference_normalization	Open
DQ-MED-007	data_provider_1_aegis_care_network	medications	encounter_reference	referential_integrity	384514	154480	Critical	encounter_reference_audit_bridge	Open
DQ-MED-008	data_provider_2_bluestone_health	medications	encounter_reference	referential_integrity	507900	113506	High	encounter_reference_audit_bridge	Open
DQ-MED-009	data_provider_3_northcare_clinics	medications	encounter_reference	referential_integrity	254214	101839	Critical	encounter_reference_audit_bridge	Open
DQ-MED-010	data_provider_4_valleybridge_medical	medications	encounter_reference	referential_integrity	459746	184504	Critical	encounter_reference_audit_bridge	Open
DQ-MED-011	data_provider_1_aegis_care_network	medications	condition_reference	referential_integrity	384514	230250	Critical	condition_reference_audit_bridge	Open
DQ-MED-012	data_provider_2_bluestone_health	medications	condition_reference	referential_integrity	507900	112263	High	condition_reference_audit_bridge	Open
DQ-MED-013	data_provider_3_northcare_clinics	medications	condition_reference	referential_integrity	254214	152652	Critical	condition_reference_audit_bridge	Open
DQ-MED-014	data_provider_4_valleybridge_medical	medications	condition_reference	referential_integrity	459746	275727	Critical	condition_reference_audit_bridge	Open
DQ-MED-015	data_provider_1_aegis_care_network	medications	medication_source_code	semantic_variant	175	35	Medium	medication_code_variant_dimension	Open
DQ-MED-016	data_provider_3_northcare_clinics	medications	medication_source_code	semantic_variant	175	35	Medium	medication_code_variant_dimension	Open
DQ-MED-017	data_provider_4_valleybridge_medical	medications	medication_source_code	semantic_variant	175	35	Medium	medication_code_variant_dimension	Open
DQ-MED-018	data_provider_1_aegis_care_network	medications	medication_description	semantic_variant	175	35	Medium	medication_description_variant_dimension	Open
DQ-MED-019	data_provider_2_bluestone_health	medications	medication_description	semantic_variant	175	35	Medium	medication_description_variant_dimension	Open
DQ-MED-020	data_provider_3_northcare_clinics	medications	medication_description	semantic_variant	175	35	Medium	medication_description_variant_dimension	Open
DQ-MED-021	data_provider_4_valleybridge_medical	medications	medication_description	semantic_variant	175	35	Medium	medication_description_variant_dimension	Open
DQ-CST-001	data_provider_1_aegis_care_network	cost_records	cost_amount	nullability	384514	34982	Medium	amount_completeness_flag	Open
DQ-CST-002	data_provider_2_bluestone_health	cost_records	cost_amount	nullability	507900	46321	Medium	amount_completeness_flag	Open
DQ-CST-003	data_provider_3_northcare_clinics	cost_records	cost_amount	nullability	254214	23175	Medium	amount_completeness_flag	Open
DQ-CST-004	data_provider_4_valleybridge_medical	cost_records	cost_amount	nullability	459746	41897	Medium	amount_completeness_flag	Open
DQ-CST-005	data_provider_1_aegis_care_network	cost_records	cost_date	nullability	384514	384514	Critical	approved_date_source_required	Open
DQ-CST-006	data_provider_3_northcare_clinics	cost_records	cost_date	nullability	254214	254214	Critical	approved_date_source_required	Open
DQ-CST-007	data_provider_1_aegis_care_network	cost_records	member_reference	referential_integrity	384514	227703	Critical	member_reference_normalization	Open
DQ-CST-008	data_provider_2_bluestone_health	cost_records	member_reference	referential_integrity	507900	154861	High	member_reference_normalization	Open
DQ-CST-009	data_provider_3_northcare_clinics	cost_records	member_reference	referential_integrity	254214	150425	Critical	member_reference_normalization	Open
DQ-CST-010	data_provider_4_valleybridge_medical	cost_records	member_reference	referential_integrity	459746	272510	Critical	member_reference_normalization	Open
DQ-CST-011	data_provider_1_aegis_care_network	cost_records	encounter_reference	referential_integrity	384514	154480	Critical	encounter_reference_audit_bridge	Open
DQ-CST-012	data_provider_2_bluestone_health	cost_records	encounter_reference	referential_integrity	507900	113506	High	encounter_reference_audit_bridge	Open
DQ-CST-013	data_provider_3_northcare_clinics	cost_records	encounter_reference	referential_integrity	254214	101839	Critical	encounter_reference_audit_bridge	Open
DQ-CST-014	data_provider_4_valleybridge_medical	cost_records	encounter_reference	referential_integrity	459746	184504	Critical	encounter_reference_audit_bridge	Open
